,name,product_id,product_idx
36,Gilde Kokt Skinke Skivet  110.00 g,3568,274
37," Små Champignon Kurv, Polen 250.00 g",9395,685
38, Store Lime Brasil/Mexico 3.00 stk,27622,1837
39,Gilde Karbonadedeig 5% fett 400.00 g,949,137
40, Gulrøtter 2. Sortering Norge 1.00 kg,9212,652
41, Store Kiwi New Zealand 4.00 stk,27773,1878
42," Tomater, Piccolo/Amour Norge/Holland 200.00 g",26694,1693
43," Hvitløk 2-3pk, Kina/Spania 100.00 g",9371,680
44,Tine Lettrømme 10% 300.00 g,8059,526
45,Tine Revet Ost Original  300.00 g,161,33
46," Crispisalat Beger, Norge/ Spania 1.00 stk",9428,691
47, Norske poteter Folva/ Solist/ Colomba 1.00 kg,31787,2685
48,Tine Matfløte 18% 0.30 l,221,45
49, Blåbær i kurv Peru/Chile/Polen 125.00 g,9269,660
50,Mutti Polpa Tomater Knuste  400.00 g,9860,709
51, Spinat Vasket Norge 125.00 g,27694,1856
52,REMA 1000 Maiskorn 3x190g 570.00 g,8488,578
53," Søtpotet i Beger Spania, USA 500.00 g",27594,1831
54,Buer Lomper Buer  10.00 stk,11596,786
55,Norsk Sjømat Laksefilet Naturell Uten Skinn 500.00 g,27246,1780
56,Old El Paso Tortillas 8 stk Medium ca 20 cm 326.00 g,7135,488
57,Gilde Kokt Skinke  150.00 g,22885,1291
58,Tine Cottage Cheese Mager 400.00 g,2224,218
59,Ytterøy Kylling Kyllingfilet Naturell 380.00 g,27011,1737
60,Prior Egg fra Frittgående Høner S/M Storpakk 18.00 stk,31115,2489
61, Purreløk Norge 1.00 stk,10040,735
62,"Tine TineMelk Lett 0,5% 1.00 l",446,65
63, Mini Plommetomat i Beger Holland 250.00 g,19708,1174
64,REMA 1000 Tortillas ca 25 cm 372.00 g,8654,604
65,Tine Tine Helmelk  1.00 l,437,59
66,Gilde Grillpølser  600.00 g,957,140
67, Store Appelsiner Spania 3.00 stk,28019,1931
68,Q-meieriene Q Melk Lett 1% 1.00 l,1131,161
69, Chilipepper Rød Nederland 50.00 g,9296,667
70,Q-meieriene Q Melk Lett  1.75 l,17722,1047
71," Store Pærer, Conference Belgia, 4 pk 4.00 stk",149,32
72,Kavli Skinkeost Tube 175.00 g,135,28
73,REMA 1000 Tomater Grovhakkede  400.00 g,8474,574
74,Ytterøy Kylling Kyllingfilet Naturell 900.00 g,27013,1739
75, Squash Grønn Nederland 1.00 stk,9287,665
76, Gul Løk Norge 4.00 stk,9440,695
77, Runde Sukkererter/ Sugarsnap Kenya 200.00 g,9323,672
78," Ruccula Vasket, Norge 70.00 g",30253,2324
79,Strøm-Larsen Kjøttdeig 14% 400.00 g,31677,2659
80,Q-meieriene Q-lettrømme 18% 300.00 g,3697,285
81,Arla Apetina Mozzarella Revet 220.00 g,4879,363
82,Tine Crème Fraîche Original 300.00 g,447,66
83, Ingefær Kina 100.00 g,9272,661
84,Prima Kvernet Deig Av Storfe 14%  400.00 g,18349,1084
85,Ytterøy Kylling Kylling lårfilet  400.00 g,27652,1853
86," Mango Moden, Brasil/Peru 2.00 stk",9431,692
87,Green Giant Mais 3x160g 480.00 g,11446,778
88," Poteter, Usorterte Vår Laveste Pris, Norge 2.50 kg",19633,1160
89, Økologiske Gulrøtter Norge 750.00 g,26976,1724
90,Idun Tomatketchup Uten tilsatt sukker 510.00 g,556,75
91,Tine Yoghurt Naturell   850.00 g,12145,808
92, Ekstra Stor Avokado Spisemoden Peru/Spania/ Sør Afrika 1.00 stk,23548,1339
93, Parmigiano Reggiano Stick Michelangelo 125.00 g,23883,1367
94,Grilstad Jubelsalami  170.00 g,4591,335
95," Sjalottløk I nett, Frankrike 350.00 g",9218,654
96,Gilde Røkt Kjøttpølse Skinnfri 450.00 g,3667,281
97,Tine TineMelk Lett  1.00 l,430,54
98," Epler, Grønne, 6 pk Granny Smith, Italia 900.00 g",27169,1766
99,Tine Norvegia 27% fett  500.00 g,989,144
100,Hatting Grove Rundstykker 10stk 600.00 g,200,38
101," Ekstra Stor Mango Moden, Brasil/Peru 1.00 stk",18964,1123
102,Old El Paso Tortillas 8 stk Large ca 23 cm 467.00 g,7369,505
103,Strøm-Larsen Karbonadedeig av Storfe 5% 400.00 g,31678,2660
104,"Q-meieriene Q Melk Skummet 0,1% 1.00 l",17734,1050
105,Tine Biola Blåbærdrikk Uten Tilsatt Sukker 1.00 l,1129,160
106, Store Klementiner Spania 1.00 kg,27045,1747
107,Tine Crème Fraîche Lett 18% 300.00 g,1324,186
108,"Hatting Pitabrød Fine, 6stk 480.00 g",214,43
109, Druer Grønne Stenfrie Kurv Egypt/Italia 500.00 g,9260,658
110,REMA 1000 Hvitløksbaguetter 2 stk 350.00 g,4258,302
111,Old El Paso Taco Spice Mix 3 stk 3 x 25g 75.00 g,26560,1682
112, Bringebær Spania 125.00 g,26540,1678
113,Q-meieriene Skyr Mini Jordbær Pose 90.00 g,14071,897
114,Prima Mandler  250.00 g,8306,557
115,Q-meieriene Q Helmelk  1.00 l,17731,1049
116,Gilde Smårettskinke Strimlet  200.00 g,2536,247
117,Hatting Chicago Hamburgerbrød 6 stk 480.00 g,4210,300
118,Grandiosa Grandiosa Original Pizza  575.00 g,211,41
119,"Q-meieriene Q Melk Lett 0,5% 1.00 l",1132,162
120,Polarbrød Fullkorn Polarkompis 16 Stk 600.00 g,28361,2036
121," Tomater Vår Laveste Pris, Tyrkia/ Spania 500.00 g",24541,1437
122,"Tine TineMelk Skummet 0,1% 1.00 l",132,26
123," Fersk Basilikum i Pose, Etiopia/ Kenya 20.00 g",15157,928
124,Q-meieriene Skyr Mini Bringebær  90.00 g,21655,1244
125," Gul Løk Vår Laveste Pris, Norge 1.00 kg",19627,1158
126,Q-meieriene Skyr Mini Banan Pose 90.00 g,14068,896
127,Q-meieriene Frokostyoghurt Vanilje Pose 800.00 g,14074,898
128,Ola Lompa Store Lomper  10.00 stk,32194,2749
129,Stavland Tomatpuré  180.00 g,15441,954
130,Tine Junior Yoghurt Fruktmiks 8 x 125g 1000.00 g,1336,187
131, Stangselleri Spania 1.00 stk,9368,679
132,Santa Maria Taco Spice Mix  28.00 g,31293,2546
133,Hatting Hatting Fullkorns Møllehjul  420.00 g,26459,1659
134,Ytterøy Kylling Strimlet  Kyllingfilet Naturell 450.00 g,32119,2738
135,Tine Laktosefri Lettmelk  1.00 l,429,53
136,Gilde Salami Siliana Skivet  130.00 g,13132,850
137," Epler, Røde, 6 pk Royal Gala/ New Zealand 950.00 g",27165,1762
138,"Tine Laktosefri Melk Lett 0,5% 1.00 l",12196,814
139,Wasa Knekkebrød Husman Økonomi  520.00 g,1612,193
140, Økologisk Agurk Spania 1.00 stk,19450,1142
141,Arla Apetina Marinert Herbs & Spices 265.00 g,5077,374
142,Prior Kalkunkorv  450.00 g,26183,1620
143,Philadelphia Philadelphia Original  200.00 g,4786,354
144,Synnøve Revet Økonomiblanding  450.00 g,4867,361
145, Røde Epler 2-3 stk Royal Gala Økologiske Spania/Italia 400.00 g,9413,689
146,Tine Biola Bringebærdrikk  1.00 l,1128,159
147,Wasa Knekkebrød Havre Økonomi  600.00 g,7063,484
148,Tine Yoghurt Vanilje 4x150g 600.00 g,80,14
149," Appelsiner i Nett Vår Laveste Pris, Spania 2.00 kg",16723,1009
150, Knaskerøtter Portugal 165.00 g,30119,2310
151,Castello Castello Blå  150.00 g,993,146
152,Mills Kaviar  245.00 g,4819,357
153, Ambrosi Mozzarella Italia 125.00 g,30580,2377
154,Findus Familiens Fiskegrateng  1.00 kg,16188,972
155,Tine Lettrømme Laktosefri 300.00 g,1205,172
156,Nordfjord Kvernet Deig Av Svin 8%  400.00 g,3859,287
157," Blåbær Beger m/lokk, Peru 225.00 g",26350,1650
158,Wasa Knekkebrød Rugsprø  200.00 g,65,7
159,Mills Kaviar Tube  185.00 g,639,89
160," Cherrytomater, klase Italia 400.00 g",27625,1838
161,REMA 1000 Pizzabunn Familie  550.00 g,25123,1496
162,Tine Yoghurt Naturell  500.00 g,840,134
163,REMA 1000 Valnøttkjerner  200.00 g,8310,558
164,"Døgnvill Døgnvill Burger, 2-pak  300.00 g",32109,2733
165," Fersk Kruspersille i Beger/pose, Etiopia/ Norsk 20.00 g",15160,929
166, Aromasopp Polen 250.00 g,13732,884
167,Buer Store Speltlomper Buer  8.00 stk,11593,785
168, Kjøttdeig Av Kylling  400.00 g,27860,1905
169, Økologiske Sitroner Spania 2.00 stk,23921,1372
170,Synnøve Gulost  1.00 kg,4969,369
171,Gilde Kjøttdeig 14% fett 400.00 g,947,136
172,Kavli Baconost Tube 175.00 g,456,69
173,Polarbrød Havre Polarkompis 16 Stk 600.00 g,28360,2035
174,Fjordland Risgrøt  970.00 g,16786,1011
175,REMA 1000 Kokosmelk  400.00 ml,8578,589
176,Gilde Svenske Kjøttboller Ca 60 stk 800.00 g,3574,275
177, Norske poteter Folva/ Solist/ Colomba 2.50 kg,25945,1583
178,Idun Tomatketchup  530.00 g,2032,201
179, Økologisk Rød Paprika Spania/Nederland 1.00 stk,19465,1147
180,REMA 1000 Nacho Chips Salt  200.00 g,16401,992
181,REMA 1000 Rundstykker Grove 6x50g 300.00 g,13375,865
182,Gilde Skinke Løvtynn  110.00 g,16125,969
183,"Rørosmeieriet Rørosmjølk Lett, Økologisk 1,2% Fett 1.00 l",24247,1420
184,Brelett Margarin Brelett  540.00 g,8250,548
185,Døgnvill Døgnvill Burgerbrød  4.00 stk,32111,2735
186,Tine Revet Ost 4 Oster  250.00 g,8240,544
187, Økologiske Cherrytomater Spania 250.00 g,19447,1141
188, Små Lime  Vår Laveste pris Brasil/Mexico 6.00 stk,27854,1904
189,"Rørosmeieriet Rørosmjølk Hel Økologisk 4,0% Fett 1.00 l",24244,1418
190,Yoplait Yoplait Safari Apeyoghurt 8x125g 1.00 kg,21562,1230
191,Soft Flora Soft Flora Original  600.00 g,3145,253
192,Tine Norvegia Original 27% Skivet 300.00 g,185,37
193,REMA 1000 Ananas i Biter 3pk 681.00 g,13363,862
194, Ruccola Norge 75.00 g,9425,690
195,Dolmio Classico Pastasaus  500.00 g,733,105
196,REMA 1000 Røde Linser Økologisk 180.00 g,23657,1353
197,Nordfjord Karbonadedeig av Storfe 5% 400.00 g,3874,288
198,Gilde Wienerpølse 8 stk 520.00 g,956,139
199,Vita Hjertego' Vita Hjertego' Lett Margarin  370.00 g,3148,254
200,Mills Ekte Majones  330.00 g,4975,370
201, Mandelpoteter Norge 2.00 kg,27048,1750
202,Tine Yoghurt Blåbær & Bringebær 4x125g 500.00 g,8152,537
203,Tine Jarlsberg 27% Skiver 250.00 g,990,145
204, Sellerirot 1 stk Norge 500.00 g,9449,697
205,REMA 1000 Fullkorntortillas ca 25 cm 372.00 g,8658,605
206,Toro Tomatsuppe med Makaroni  119.00 g,10715,754
207,Den Stolte Hane Kjøttdeig Av 100% Kyllingfilet  325.00 g,27862,1907
208,Nordfjord Kjøttdeig av Storfe 14% 400.00 g,3853,286
209,Santa Maria Taco Sauce Medium  230.00 g,31294,2547
210,Prima Kvernet Deig Av Storfe 5% fett  400.00 g,18352,1085
211,REMA 1000 Brokkoliblanding  500.00 g,8400,567
212,Findus Torsk Gourmet  420.00 g,16185,971
213,Melange Flytende Melange  520.00 ml,220,44
214, Asparges i Bunt Peru 250.00 g,29663,2227
215,Stranda Strandaskinke  135.00 g,4717,344
216,Olivero Olivero Smør- Og Olivenolje  400.00 g,25000,1486
217,Melange Melange Margarin  500.00 g,1741,197
218, Stor Kålrot Norge 1.00 stk,9359,677
219, Jordbær Egypt/ Spania 400.00 g,26104,1612
220,REMA 1000 Fusilli  500.00 g,8688,610
221,Norsk Sjømat Laksefilet Naturell med Skinn  500.00 g,27247,1781
222,Prima Tortillas Hvete 8 stk ca 20 cm 320.00 g,28215,1987
223,Barilla Pesto alle Genovese  190.00 g,15609,958
224,Hoff Opphøgde Potteter  475.00 g,24500,1427
225,REMA 1000 Tomater Hakkede Økologisk 390.00 g,20938,1211
226, Røde Epler i Pose Vår Laveste pris / Polen 2.00 kg,19618,1157
227,Maarud Tortillachips Ost 185.00 g,258,50
228,REMA 1000 Sorte Bønner Økologisk 290.00 g,23658,1354
229,Tine Kremfløte Laktosefri 0.30 l,1303,183
230, Potet Amandine Frankrike 1.50 kg,9434,693
231,Mills Potetmos Vanlig  90.00 g,5848,392
232,Tulip Ternet Bacon 2x150gr 300.00 g,27923,1915
233,Old El Paso Nachips  185.00 g,7366,504
234,REMA 1000 Kikerter  410.00 g,8466,571
235," Pinjekjerner Nøtteliten, Kina 50.00 g",29137,2124
236,REMA 1000 Tortelloni Ricotta & Spinat  250.00 g,28094,1952
237,Tine Kremost Krydder 125.00 g,997,148
238,Tine Cottage Cheese Original 400.00 g,448,67
239,Tine Kefir Økologisk 1.00 l,12028,794
240,Wasa Knekkebrød Sport+  225.00 g,1699,195
241,Stabburet Sprøstekt Løk PS 100.00 g,723,101
242,Oatly Havredrikk Kalsium  1.00 l,1193,171
243,Tine Yoghurt Skogsbær 4x150g 600.00 g,76,12
244,Den Stolte Hane Kyllingfilet  750.00 g,27861,1906
245,Findus Fiskepinner  750.00 g,8906,644
246,Tine TineMelk Hel  1.75 l,12178,812
247,Tine Gudbrandsdalsost G35  500.00 g,1246,181
248," Ekstra Saftige Klementiner Med Blader, Spania 900.00 g",27046,1748
249, Aubergine Nederland 1.00 stk,9392,684
250,REMA 1000 Økologiske Kikerter  290.00 g,23655,1351
251,Findus Fiskegrateng God Gammeldags  540.00 g,243,48
252," Avokado Snart Moden ca 7 stk, Colombia/ Mexico 1.00 kg",26254,1635
253,Oatly Havredrikk Barista edition  1.00 l,23256,1314
254," Små Røde Druer Vår Laveste Pris, Spania/ Egypt 500.00 g",28052,1936
255,Hatting Grove Pitabrød  400.00 g,28496,2046
256,REMA 1000 Soltørkede Tomater  280.00 g,8630,599
257,Peppes Pizza Pizzasaus Original  180.00 g,99,21
258,Tine Seterrømme  300.00 g,144,31
259,Tine Lett Matfløte 10%  0.30 l,2233,220
260,Gilde Servelat  150.00 g,3565,273
261,Norsk Sjømat Frossen Laksefilet Uten Skinn 4.00 stk,29144,2125
262," Rødløk Laveste Pris, Norge/Danmark 1.00 kg",19630,1159
263,Mutti Pizzasaus Med Oregano & Basilikum 400.00 g,28159,1975
264,REMA 1000 Tacosauce Medium  230.00 g,8518,581
265,Grilstad Gullsalami  80.00 g,8276,551
266,REMA 1000 Brokkolitopper  450.00 g,8420,568
267,REMA 1000 Maiskorn  340.00 g,8792,630
268,Santa Maria Naan Bread  260.00 g,7360,503
269,REMA 1000 Cashewnøtter  175.00 g,8590,591
270, Gulrot I Bunt Norge 1.00 kg,27780,1880
271,Vesteraalen Fiskeboller  550.00 g,20890,1209
272,Mills Majones Lett 170.00 g,583,82
273," Fersk Bladpersille i Pose, Etiopia 20.00 g",17767,1061
274,Tine Gräddost  380.00 g,1212,175
275,Tine Fløtemysost skivet  130.00 g,445,64
276,Tine Rislunsj Med Jordbær  150.00 g,8128,532
277, Fersk Mozzarella Vår Laveste Pris 125.00 g,27574,1828
278, Gul Paprika Spania/Nederland 2.00 stk,27770,1876
279,Tine Gudbrandsdalsost   1.00 kg,12250,823
280," Små Pærer Vår Laveste Pris, Conference Belgia 1.00 kg",28023,1932
281,Polly Polly Peanøtter  330.00 g,9815,704
282,Nora Pariseragurker  580.00 g,6739,473
283,Tine Go' Morgen Skogsbæryoghurt med 4-kornmüsli 195.00 g,818,129
284,Norsk Sjømat Frossen Ørret i Lenke Med Skinn 4.00 stk,32202,2751
285,Gilde Salami Go Og Mager  130.00 g,4420,316
286,Q-meieriene Q Frokostyoghurt Blåbær  125.00 g,20881,1207
287,REMA 1000 Parmigiano Reggiano Revet  80.00 g,26513,1673
288,Tine Junior Yoghurt Blåbær 90.00 g,28082,1947
289,Gilde Kjøttdeig av Storfe 14% u/salt og vann 400.00 g,23282,1322
290,Gilde Go & Mager Servelat  100.00 g,23950,1380
291,Tine Junior Yoghurt Jordbær 90.00 g,28081,1946
292,Tine Skivet Gudbrandsdalsost  130.00 g,438,60
293,Sopps Makaroni Fullkorn  500.00 g,8336,561
294,Ek Gårdskjøkken Store Egg Fra Frittgående Høner Str L 9.00 stk,29009,2111
295, Hodekål Norge 1.50 kg,27462,1803
296,Stranda Renskåret Strandaskinke  120.00 g,31342,2566
297, Lakseporsjoner Med Skinn  4.00 stk,29145,2126
298,Toro Jasminris Boil in Bag 8 poser 960.00 g,25226,1507
299,Fjordland Risgrøt  460.00 g,98,20
300," Epler, grønne, 4 pk Granny Smith, Italia 750.00 g",27168,1765
301,Hatting Høvding Fine Pølsebrød 12 stk 480.00 g,4198,298
302,Sopps Spaghetti  500.00 g,693,92
303,Tine Kesam Mager  300.00 g,1306,184
304,REMA 1000 Kidneybønner Økologisk 290.00 g,23656,1352
305,REMA 1000 Tortillachips Ost  200.00 g,9137,651
306,REMA 1000 Roastbeef  100.00 g,17086,1028
307, Babyspinat Uvasket Italia/Spania 100.00 g,26252,1633
308,Ytterøy Kylling Kyllingfilet Naturell 680.00 g,27012,1738
309,Berit Nordstrand Berit Nordstrand Smøremyk  400.00 g,29967,2287
310,Gilde Gildeburger Classic 8 stk i pk 800.00 g,27503,1814
311,REMA 1000 Fullkorn Spaghetti  500.00 g,8472,573
312,REMA 1000 Taco Dinner Kit  320.00 g,8682,608
313,Salma Backloin 1/2 Norge 200.00 g,27823,1889
314,Salma Bellyloin 1/2 Norge 400.00 g,27822,1888
315,Alpro Mandeldrikk Usøtet  1.00 l,20461,1199
316,Prima Nakkekoteletter  950.00 g,3886,290
317,Mills Majones Ekte 160.00 g,585,83
318, Fennikel Holland 1.00 stk,9572,701
319, Babyleaf Salatblanding Norge 100.00 g,13261,857
320,REMA 1000 Rundstykker Fine 6 x 50g 300.00 g,20941,1212
321,REMA 1000 Aspargesbønner Fryst 300.00 g,16374,987
322,REMA 1000 Tomatpuré  140.00 g,8608,596
323,REMA 1000 Rapsolje  1.00 l,22318,1266
324,Tine Jarlsberg Skorpefri 450.00 g,28102,1956
325,Tine Yoghurt Vanilje  850.00 g,12148,809
326,Hatting Chicago Pølsebrød 10 stk 500.00 g,17395,1039
327," Fersk Dill i Pose, Etiopia 20.00 g",17746,1054
328," Fersk Gressløk i Pose, Etiopia 20.00 g",15166,931
329, Brokkolini Kenya 200.00 g,22480,1275
330,Gilde Røkt Kjøttpølse uten Skinn Go og Mager 450.00 g,23318,1323
331," Brokkoli Økologisk, Spania/Holland 1.00 stk",19468,1148
332,Peppes Pizza Peppes Originale Pizzabunn  550.00 g,4633,338
333,REMA 1000 Revet Cheddar Taste Lab 200.00 g,24017,1388
334,Danonino Danonino Drikkeyoghurt Jordbær 4x100g 400.00 g,2371,240
335,Brødverket Brioche Hamburgerbrød  4.00 stk,31793,2686
336,Q-meieriene Q Frokostyoghurt Jordbær  800.00 g,25381,1529
337,Hatting Veggen Spelt 7 stk 420.00 g,19255,1131
338,REMA 1000 Tacosauce Hot  230.00 g,8534,586
339,Grilstad Nistesalami Bordpakning 250.00 g,15687,960
340,Q-meieriene Q-Drømmelett 5% 300.00 g,21652,1243
341,Vita Hjertego' Margarin Vita Hjertego'  370.00 g,3586,277
342, Reddik Holland 130.00 g,9374,681
343,Q-meieriene Q-Crème Fraîche  3.00 dl,25383,1530
344,Tine Tine Lettmelk Med Sjokoladesmak  1.00 l,28341,2028
345, Aspargesbønner Kenya 150.00 g,9476,699
346,Nora Nora Tomatbønner  425.00 g,6745,475
347,Gilde Servelat  110.00 g,28767,2082
348, Brie de Paris  250.00 g,18616,1101
349,Tine Cheddar Burgerost Norskprodusert 160.00 g,31704,2673
350,Friggs Maiskaker Chia & Havsalt  130.00 g,23422,1333
351,God Bakst Croissant 6 stk 360.00 g,24517,1430
352, Plommetomat Holland 500.00 g,19702,1172
353,Tine Kulturmjølk Skummet 1.00 l,134,27
354,Prior Kalkunfilet Naturell  110.00 g,3661,279
355,REMA 1000 Cashewnøtter  55.00 g,23223,1305
356, Granateple Egypt 1.00 stk,9023,648
357,Tine Biola Jordbærdrikk  1.00 l,8044,524
358,REMA 1000 Tagliatelle  400.00 g,21892,1256
359,Hatting Grove Hamburgerbrød 6 stk 420.00 g,27606,1832
360,"Lofoten Familiens Fiskekaker 60%, 12 Stk 600.00 g",30928,2434
361,REMA 1000 Fullkorn Fusilli  500.00 g,8648,603
362,Toro Tomatsuppe  91.00 g,716,99
363,Gilde Grillpølse Go og Mager 600.00 g,23267,1317
364," Maiskolber Vac.Pk, Thailand 2.00 stk",9275,662
365,Oatly Havredrikk Økologisk  1.00 l,16537,997
366,Sørlandskjøtt Kokt Skinke Sammenpresset Vår Laveste Pris 500.00 g,27883,1911
367,REMA 1000 Pommes Strips  600.00 g,8278,552
368,Old El Paso Tortillas 6 stk Fullkorn ca 23 cm 350.00 g,7132,487
369,Tine Vaniljekesam Mager 420.00 g,2227,219
370,Tine Selbu Blå  150.00 g,2284,231
371, Miniplommetomat i Beger Holland 500.00 g,32374,2775
372,Tine TineMelk Lett Laktoseredusert 1.00 l,12004,790
373,Barilla Pasta Tagliatelle  500.00 g,690,90
374,Tine Snøfrisk Naturell  125.00 g,2200,216
375," Epler, gule, 6 pk Golden Delicious, Italia 950.00 g",27167,1764
376," Romano Mix Vasket, Italia/Spania 175.00 g",13594,875
377,Tine Go' Morgen Vaniljeyoghurt med Havrecrisp 195.00 g,441,62
378,Gilde Hverdagslam Kjøttdeig uten Salt og Vann  400.00 g,28549,2055
379,Peppes Pizza Peppes Pepperoni  70.00 g,28071,1944
380,Prima Svinekoteletter 4 stk 920.00 g,3880,289
381,Tine Jarlsberg Revet  200.00 g,8244,546
382," Bakepotet Colomba, Frankrike 1.00 stk",19672,1162
383,Gilde Skogsbacon  180.00 g,519,70
384,Sopps Penne Fullkorn  525.00 g,7459,508
385,Kolonihagen Kokt Skinke Økologisk  100.00 g,27841,1898
386,Synnøve Skivet Gulost  285.00 g,4822,358
387,REMA 1000 Sylteagurker  530.00 g,8778,627
388," Råkostmiks Vasket, Norge/Spania 225.00 g",27706,1866
389," Rød mini Paprika, Ekstra Søte Holland 150.00 g",29594,2214
390,Gilde Kjøttkaker 16 stk 800.00 g,3655,278
391,Tine Tine Sjokomelk  1.00 l,137,29
392,REMA 1000 Kidneybønner  420.00 g,8594,592
393,Santa Maria Naan Bread Garlic  260.00 g,23373,1330
394,Tine Yoghurt Jordbær 4x150g 600.00 g,74,10
395,"Lofoten Hjemmelagde fiskekaker 60%, 7 Stk 450.00 g",30930,2436
396," Rød/Gule Plommer I kurv, Spania 500.00 g",23092,1296
397, Nansen/ Asterix Norge 2.50 kg,23532,1337
398,Den Stolte Hane Kyllingfilet Stekt Og Skivet Soltørket Tomat  200.00 g,27880,1909
399,Tine Ekte Meierismør  250.00 g,12235,820
400,REMA 1000 Brokkoli & Blomkål Blanding  500.00 g,8432,569
401," Grønnkål uten Stilk Vasket, Spania 125.00 g",27710,1870
402,Synnøve Gresk Yoghurt 2% Fett 350.00 g,8816,636
403,Sopps Makaroni Snarkokt  650.00 g,698,94
404," Miniagurk Beger, Holland 150.00 g",26101,1609
405,Tine Norvegia Fyldig  830.00 g,8248,547
406,Gilde Falukorv  400.00 g,1209,174
407,Tine Yoghurt Melon 4x150g 600.00 g,8155,538
408," Kinesisk Hvitløk u/Fedd hele, Kina 100.00 g",9248,656
409,Tine Tine Laktosefri Helmelk  1.00 l,24681,1450
410,Nora Rødbeter Skivede  580.00 g,6742,474
411,"Yoplait Yoplait 00% Vanilje, 4x125g 500.00 g",21565,1231
412,"Rørosmeieriet Rørosmjølk Økologisk 0,7% Fett 1.00 l",24245,1419
413," Norske Jordbær i Kurv, Sonata 400.00 g",22753,1283
414,REMA 1000 Tortillachips Salt  200.00 g,9134,650
415,Kolonihagen Gresskarkjerner Økologisk 300.00 g,26760,1701
416, Økologiske Appelsiner Sør-Afrika/Spania 1.00 kg,23922,1373
417,Q-meieriene Frokostyoghurt Naturell Pose 800.00 g,14077,899
418,Gilde Favorittsalami Skivet  150.00 g,4621,337
419,Kavli Mager Skinkeost Tube 175.00 g,4528,329
420,REMA 1000 Pizzasaus Taste Lab 200.00 g,24095,1406
421,Salatmester'n  Scampi Ferdig kokt 270.00 g,28280,2005
422,Tine Go' Morgen Vaniljeyoghurt med nøttemix 195.00 g,440,61
423,Old El Paso Taco Shells 12pk 156.00 g,7354,502
424, Hamburgerrygg  200.00 g,27541,1824
425,REMA 1000 Olivenolje Extra Virgin  0.50 l,8742,617
426, Grønn Paprika Spania/Nederland 2.00 stk,27768,1875
427,REMA 1000 Klassisk Wokblanding  500.00 g,16510,996
428,Ytterøy Kylling Kyllingfilet Naturell Vår Laveste Pris 1.40 kg,27014,1740
429,Ytterøy Kylling Kyllingfilet Naturell  700.00 g,32482,2813
430,Santa Maria Eggnudler  200.00 g,14230,905
431,Wasa Knekkebrød Havre  300.00 g,66,8
432,Q-meieriene Q-Kremfløte  0.30 l,17737,1051
433,Tine Norvegia Skiver  150.00 g,12256,824
434,Tine Biola Syrnet Lettmelk 1.00 l,12190,813
435,Tine TINE Kremfløte 38%  7.50 dl,28742,2080
436,REMA 1000 Grønn Pesto  190.00 g,8620,597
437,Q-meieriene Q Frokostyoghurt Melon & Pasjonsfrukt  125.00 g,20884,1208
438,Toro Lasagne Familiepakning  320.00 g,6295,446
